candidato,advertiser_feasible,adv_median,adv_P2_5,adv_P25,adv_P75,adv_P97_5
apartamento 2Q Morretes,True,0.016072746228781805,0.013177677516893837,0.0152681348036073,0.016850540184507067,0.02051218742111718
apartamento 2Q Meia Praia,True,0.014678818631960404,0.012750221792538673,0.014,0.015415762342369008,0.0168
apartamento 2Q Centro,True,0.0126905644829007,0.010175369616758355,0.011956521739130435,0.013636491477272727,0.015946192105263154
apartamento 1Q Centro,True,0.011720224719101124,0.008724943820224719,0.011654748603351955,0.015008645533141211,0.021004364395358067
