categoria,n_listings,n_com_price,cobertura_%
0,56,8,14.3
1,549,144,26.2
2,1482,351,23.7
3,1922,404,21.0
4,371,80,21.6
5,41,7,17.1
6,6,2,33.3
7,5,2,40.0
8,1,0,0.0
10,2,0,0.0
11,1,0,0.0
12,4,1,25.0
16,1,0,0.0
