A,B,win_rate_A_over_B,n
apartamento 2Q Morretes,apartamento 2Q Meia Praia,0.8205,2000
apartamento 2Q Morretes,apartamento 2Q Centro,0.9595,2000
apartamento 2Q Morretes,apartamento 1Q Centro,0.876,2000
apartamento 2Q Meia Praia,apartamento 2Q Centro,0.887,2000
apartamento 2Q Meia Praia,apartamento 1Q Centro,0.7875,2000
apartamento 2Q Centro,apartamento 1Q Centro,0.582,2000
