suburb_canonical,bedrooms,listing_type,N_sale,median_sale_price,mean_sale_price,p25_sale_price,p75_sale_price,median_usable_area,median_price_per_m2,median_monthly_condo_fee,missing_rate_condo,median_yearly_iptu,missing_rate_iptu,faixa_vivareal
Tabuleiro dos Oliveiras,4,casa,1,999000.0,999000.0,999000.0,999000.0,320.0,3121.875,0.0,0.0,0.0,0.0,critico_<5
Tabuleiro dos Oliveiras,6,apartamento,1,4085460.0,4085460.0,4085460.0,4085460.0,226.0,18077.256637168142,0.0,0.0,,1.0,critico_<5
Varzea,0,terreno,9,3300000.0,3019847.777777778,2989630.0,3300000.0,2100.0,1571.4285714285713,0.0,0.5555555555555556,0.0,0.4444444444444444,pequeno_5-19
Varzea,2,apartamento,29,649800.0,667631.7586206896,620000.0,680088.0,70.0,9457.142857142857,0.0,0.5517241379310345,0.0,0.3793103448275862,medio_20-49
Varzea,3,apartamento,3,795000.0,804333.3333333334,741500.0,862500.0,70.0,9937.5,0.0,0.0,0.0,0.3333333333333333,critico_<5
Varzea,3,casa,3,585000.0,730000.0,585000.0,802500.0,121.0,4875.0,0.0,0.0,600.0,0.0,critico_<5
Varzea,5,casa,1,899000.0,899000.0,899000.0,899000.0,235.0,3825.531914893617,0.0,0.0,,1.0,critico_<5
,0,outros,1,5950000.0,5950000.0,5950000.0,5950000.0,252.0,23611.11111111111,0.0,0.0,0.0,0.0,critico_<5
,0,terreno,2,820000.0,820000.0,785000.0,855000.0,1152.5,1089.5214521452144,0.0,0.0,0.0,0.5,critico_<5
,1,apartamento,1,2000000.0,2000000.0,2000000.0,2000000.0,65.0,30769.23076923077,,1.0,,1.0,critico_<5
,2,apartamento,28,757405.0,781777.5,607750.0,896250.0,67.0,11652.161458333332,0.5,0.14285714285714285,1.0,0.39285714285714285,medio_20-49
,2,casa,1,592259.0,592259.0,592259.0,592259.0,64.0,9254.046875,,1.0,,1.0,critico_<5
,3,apartamento,29,1630000.0,1803764.9655172413,1400000.0,2000000.0,130.0,12692.307692307691,300.0,0.5862068965517241,619.5,0.6551724137931034,medio_20-49
,3,casa,2,2025000.0,2025000.0,1287500.0,2762500.0,188.0,9075.821104122992,,1.0,,1.0,critico_<5
,4,apartamento,27,2768000.0,3702395.5185185187,1875000.0,4600000.0,229.0,14000.105263157895,1.0,0.6666666666666666,0.0,0.6666666666666666,medio_20-49
,4,casa,4,10400000.0,10092500.0,7050000.0,13442500.0,410.0,21552.796771662368,0.5,0.0,1.0,0.25,critico_<5
,5,apartamento,3,2600000.0,9733333.333333334,2100000.0,13800000.0,332.0,6280.193236714976,,1.0,,1.0,critico_<5
