N_listings,listing_type,ADR_median,ADR_mean,ADR_p25,ADR_p75,unavailability_median,unavailability_mean,unavailability_p25,unavailability_p75,rev_proxy_median,rev_proxy_mean,rev_proxy_p25,rev_proxy_p75,confianca_amostral
3,Missing/Unknown,786.6667,734.2222333333333,701.33335,793.33335,0.0989010989010989,0.10256410256410255,0.08241758241758242,0.12087912087912087,5544.0,6888.0000666666665,5132.000099999999,7972.0,muito_baixa
737,apartamento,540.0,622.1018460244234,400.0,720.0,0.37362637362637363,0.41038066411200735,0.23076923076923078,0.5824175824175825,16833.75,22848.51567705563,10660.0,26550.0,alta
33,casa,500.0,812.0530303030303,300.0,1000.0,0.3626373626373626,0.4029304029304029,0.15384615384615385,0.5824175824175825,16000.0,25115.136363636364,8330.0,36900.0,media
7,outros,170.0,185.57142857142858,150.0,214.5,0.3516483516483517,0.30769230769230765,0.15384615384615385,0.44505494505494503,3401.0,5240.142857142857,2365.0,6075.0,baixa
