target,with_suburb,feature,perm_imp,holdout_n
unavailability,False,n_guests,-0.0008279753372920695,322
unavailability,False,n_bathrooms,-0.0004947102586853825,322
unavailability,False,n_bedrooms,-0.00010383819079467227,322
unavailability,False,cleaning_fee,-0.0033715559802516004,322
unavailability,False,picture_count,-0.006012695379154967,322
unavailability,False,n_reviews,0.019274884535754128,322
unavailability,False,star_clean,-0.00023850476645504714,322
unavailability,False,guest_sat_clean,6.48874934589594e-05,322
unavailability,False,n_reviews_host,-0.0011423338566195179,322
unavailability,False,star_host_clean,-0.001770800627943453,322
unavailability,False,years_host,0.0011755739084931937,322
unavailability,False,months_host,0.0008416035310445629,322
unavailability,False,amenities_count,8.17464109389876e-05,322
unavailability,False,description_length,0.002641253156781137,322
unavailability,False,can_instant_book_b,-0.0018135053352444197,322
unavailability,False,is_professional_b,-0.00017823584283208072,322
unavailability,False,is_new_listing_b,0.0007525766159306863,322
unavailability,False,is_guest_favorite_b,0.0011468159170022862,322
unavailability,False,is_superhost_b,0.0017285737037290166,322
unavailability,False,is_verified_b,1.9428902930940238e-17,322
unavailability,False,listing_type_low,-0.00016660978772777278,322
