listing_id,suburb_original,suburb_canonical,sale_price_num,usable_area_num,price_per_m2,listing_type,bedrooms,flag_outlier_price,flag_outlier_m2
2735746826,Meia Praia,Meia Praia,44000000.0,966,45548.65424430642,apartamento,7,1,0
2766852231,Canto da Praia,Canto da Praia,39499800.0,3400,11617.588235294117,terreno,0,1,0
2753354111,,,25000000.0,332,75301.2048192771,apartamento,5,1,1
2740231380,Ilhota,Ilhota,25000000.0,1747,14310.246136233543,casa,5,1,0
2735193923,Morretes,Morretes,24990000.0,331,75498.48942598187,casa,5,1,1
2752959293,Meia Praia,Meia Praia,24990000.0,331,75498.48942598187,apartamento,5,1,1
2761579415,Meia Praia,Meia Praia,24990000.0,331,75498.48942598187,apartamento,5,1,1
2754748296,Meia Praia,Meia Praia,21928180.0,417,52585.56354916067,apartamento,5,1,0
2723972240,Ilhota,Ilhota,21000000.0,856,24532.71028037383,casa,6,1,0
2751138502,Meia Praia,Meia Praia,20888000.0,483,43246.3768115942,apartamento,5,1,0
2770206625,Meia Praia,Meia Praia,20888000.0,483,43246.3768115942,apartamento,6,1,0
2758287618,Ilhota,Ilhota,20000900.0,1635,12232.96636085627,casa,6,1,0
2754746735,Meia Praia,Meia Praia,18985728.0,380,49962.44210526316,apartamento,5,1,0
2681256935,Meia Praia,Meia Praia,18835640.0,381,49437.37532808399,casa,6,1,0
2760274857,Meia Praia,Meia Praia,18835640.0,402,46854.82587064677,apartamento,6,1,0
2767583827,Ilhota,Ilhota,18370000.0,811,22651.048088779284,casa,4,1,0
2765063379,Ilhota,Ilhota,18370000.0,811,22651.048088779284,casa,4,1,0
2666619211,Andorinha,Andorinha,18370000.0,813,22595.325953259533,casa,4,1,0
2752684826,Ilhota,Ilhota,18370000.0,811,22651.048088779284,casa,4,1,0
2626580029,Ilhota,Ilhota,18370000.0,811,22651.048088779284,casa,4,1,0
2733219020,Ilhota,Ilhota,18370000.0,574,32003.48432055749,casa,3,1,0
2725006089,,,18370000.0,811,22651.048088779284,casa,4,1,0
