feature,target,quartile,N,feature_min,feature_max,target_median,target_P25,target_P75
n_reviews,ADR,0,223,0.0,10.0,600.0,464.0,822.5
n_reviews,ADR,1,186,11.0,17.0,527.0,400.0,699.75
n_reviews,ADR,2,181,18.0,32.0,500.0,397.5,700.0
n_reviews,ADR,3,187,33.0,504.0,499.0,385.0,700.0
n_reviews,unavailability,0,223,0.0,10.0,0.2747252747252747,0.1648351648351648,0.4505494505494505
n_reviews,unavailability,1,186,11.0,17.0,0.3406593406593406,0.1978021978021978,0.5686813186813187
n_reviews,unavailability,2,181,18.0,32.0,0.4285714285714285,0.2967032967032967,0.6263736263736264
n_reviews,unavailability,3,187,33.0,504.0,0.4725274725274725,0.2912087912087912,0.6703296703296704
star_clean,static revenue,0,196,4.0,4.849999904632568,15507.5,9758.625,24350.0
star_clean,static revenue,1,200,4.860000133514404,4.940000057220459,19250.0,12032.8125,29304.5
star_clean,static revenue,2,366,4.949999809265137,5.0,17005.0,10510.0,26817.99885
star_clean,ADR,0,196,4.0,4.849999904632568,499.5,384.75,642.375
star_clean,ADR,1,200,4.860000133514404,4.940000057220459,533.66665,400.0,702.5
star_clean,ADR,2,366,4.949999809265137,5.0,574.25,400.0,795.0625
star_clean,unavailability,0,196,4.0,4.849999904632568,0.3626373626373626,0.24999999999999994,0.5521978021978022
star_clean,unavailability,1,200,4.860000133514404,4.940000057220459,0.3956043956043956,0.2637362637362637,0.6043956043956044
star_clean,unavailability,2,366,4.949999809265137,5.0,0.3626373626373626,0.2087912087912088,0.5714285714285714
n_reviews_host,static revenue,0,200,0.0,17.0,15795.0,7612.5,23796.8745125
n_reviews_host,static revenue,1,193,18.0,45.0,18612.0,12173.3328,26500.0
n_reviews_host,static revenue,2,199,46.0,233.0,19635.0,12378.1070375,31720.5
n_reviews_host,static revenue,3,185,236.0,41299.0,14421.0,10336.0,23868.0
n_reviews_host,ADR,0,200,0.0,17.0,600.0,447.5416675,800.0
n_reviews_host,ADR,1,193,18.0,45.0,500.0,375.0,700.0
n_reviews_host,ADR,2,199,46.0,233.0,509.0,399.0,765.0
n_reviews_host,ADR,3,185,236.0,41299.0,525.0,420.0,650.0
n_reviews_host,unavailability,0,200,0.0,17.0,0.3186813186813186,0.1428571428571428,0.489010989010989
n_reviews_host,unavailability,1,193,18.0,45.0,0.4285714285714285,0.2747252747252747,0.6153846153846154
