candidato,N_airbnb,N_owner_airbnb,N_sale,N_pickup,efficiency_H30,rank_H30,efficiency_H60,rank_H60,efficiency_H91,rank_H91,conservative_91,base_91,optimistic_91,bootstrap_median,bootstrap_P2_5,bootstrap_P97_5,pickup_median,net_transition_rate,partial_cost_eff,evidence_tier,pareto_status
apartamento 2Q Morretes,43,34,1037,33,0.0115189873417721,1,0.0143670886075949,2,0.0160126582278481,1,0.009069440971196,0.0160126582278481,0.0269926470588235,0.0160602258469259,0.0135963309640988,0.020506329113924,0.0,0.0,0.014739292526443558,moderada,ND
apartamento 2Q Meia Praia,126,112,243,98,0.0101944444444444,2,0.014733449074074,1,0.0147453703703703,2,0.0081968668953488,0.0147453703703703,0.0246206934326559,0.014750909090909,0.0128436423015556,0.01665,1541.91667,0.0519480519480519,0.013345319634703198,forte,ND
apartamento 2Q Centro,59,37,89,50,0.0100434782608695,3,0.0131121739130434,3,0.0130434782608695,3,0.0064354838709677,0.0130434782608695,0.0225151856017997,0.01281,0.0102380952380952,0.0156838291074005,3982.58335,0.0844155844155844,0.011689112567004169,forte,ND
apartamento 1Q Centro,75,17,22,70,0.0099370786516853,4,0.0122853932584269,4,0.0117033707865168,4,0.0077474489795918,0.0117033707865168,0.0202114942528735,0.0117202247191011,0.0087249438202247,0.0197032952675933,3469.95835,0.0779220779220779,0.010152901339079576,moderada,DOM
