candidato,N_airbnb,N_owners,N_sale,cluster_median,cluster_P2_5,cluster_P25,cluster_P75,cluster_P97_5,metodo
apartamento 2Q Morretes,43,34,1037,0.01606022584692597,0.013596330964098862,0.015344303797468354,0.016870886075949366,0.02050632911392405,owner_cluster_airbnb+listing_bootstrap_vivo
apartamento 2Q Meia Praia,126,112,243,0.01475090909090909,0.012843642301555646,0.01400109170305677,0.015358001373626374,0.01665,owner_cluster_airbnb+listing_bootstrap_vivo
apartamento 2Q Centro,59,37,89,0.01281,0.010238095238095239,0.012041195570912043,0.013636363636363636,0.015683829107400536,owner_cluster_airbnb+listing_bootstrap_vivo
apartamento 1Q Centro,75,17,22,0.011720224719101124,0.008724943820224719,0.011654748603351955,0.013793874220505618,0.019703295267593363,owner_cluster_airbnb+listing_bootstrap_vivo
